khach_cmt,rating,shop_phan_hoi
"hàng lối cắt quá cao, này không phải là quần rách gối nữa rồi mà là quần rách đùi",1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
đặt quần rách gối nhưng shop lấy quần đen trơn tự rạch ra xong gửi cho mình  hàng không giống như ảnh . anh em nên cân nhắc,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
quần rách đùi chứ không rách gối nhưng chất quần đẹp giao hàng nhanh,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
"quần rất xấu , chất liệt rất tệ . chưa kể tới quần rất mỏng . tôi đặt ở 2 shop khác nhau cùng 1 loại quần. nhưng ở shop kia giá 140k quần lại đẹp hơn . dày hơn và ôm dáng hơn . không vì tôi là f1 phải cách ly thì tôi cũng đã trả đơn hàng này.",1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
"quần bạc bạc như bị phai màu chứ không đen hẳn như ảnh mẫu , không giống ảnh mẫu , form cũng không ôm chân , thất vọng",1,
"hỗ trợ khách hàng kém, khách gặp vấn đề phản hồi rất chậm, đổi 1 đơn hàng mà 2 tuần mới nhận được. khách đặt size 30 muốn đổi lên 31 mà shop gửi hàng đổi lại vẫn là 30?  mất mấy chục nghìn mà không giải quyết được gì",1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
quần bạc phớ như quần lao động ý. vết rách thì như cục chỉ rối lại với nhau,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
shop làm ăn rất kém. lần đầu mình đặt xám giao nâu. mình gửi lại đổi thì nửa tháng sau mới gửi lại. mình đổi sang 1 đen 1 xám. lại gửi lại 2 đen xong lại để tiền ship mình chịu 3 lần. vote 1 sao,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
đặt 31 giao 32.mình bận không có thời gian đổi trả hàng luôn.shop làm ăn chán quá,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
"quần xấu, nhỏ nữa, mình mua quần giống với số đo của shop nhưng mặc không vừa, liên hệ với shop để đổi thì không rep, đừng nên mua nhé mọi người ",1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
shop giao hàng không đúng mẫu,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
quần rách gối mà rách lên tận đùi,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
"cầm được cái quần trên tay thì bột bẩn đen xì. giặt nhẹ qua nước bằng tay mãi không hết xong rất dễ rách,xé đúng nghĩa như khô gà luôn. hàng quá kém chất lượng.",1,
người giao hàng quá tệ . rất láo toét . hỗn láo rất mắt dậy không hiểu sao lại có một người vô ý thức như thế,1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
"bảo giao hàng mà bây giờ chưa thấy đâu, nhắn thì mãi mới rep, xong rồi còn bảo qua tết gửi thì đến chịu",1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trả được không ạ"
"sản phẩm rất tệ, chất vải cực kì xấu, cứng, quần khá là chật và ngắn, không giống với yêu cầu của tôi lúc mua hàng, 1* cho shop vì làm ăn tắc trách",1,"dạ, em chào quýkhách ạ, em xin lỗi vìđểmình không hài lòng vềchất lượng sản phẩm, em có thểhỗtrợmình đổi trảhoặc hoàn tiền được không ạ"
"không hiểu vì sao người bán lại gọi đây là quần jean, chất vải thì mỏng tanh, đường may sơ xài thừa chỉ nhiều, hàng này là hàng thủ công, làm ẩu và không có thẩm mỹ , nhìn chán đời luôn, cái câu tiền nào của lấy chẳng bao giờ sai khi nào, khuyên mọi người không nên mua",1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
giao hàng nhanh quá không kịp chuẩn bị tiền phải đi vay,1,"hihi cảm ơn quý khách đã phản hồi ạ, shop gửi nhanh cho mình , mình phải đánh giá 5 sao chứ ạ "
quần xanh màu không đúng như trên ảnh màu gì mà trông chán chả muốn mặc,1,
đặt jean rách nhưng lại gửi jean thường,1,"dạ, em chào quý khách ạ, em xin lỗi vì để mình không hài lòng về chất lượng sản phẩm, em có thể hỗ trợ mình đổi trả hoặc hoàn tiền được không ạ"
